Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Albania,ALB,2021-08-21,27.35,
Albania,ALB,2021-08-22,27.41,
Albania,ALB,2021-08-23,27.59,
Albania,ALB,2021-08-24,27.76,
Albania,ALB,2021-08-25,27.93,
Albania,ALB,2021-08-26,28.1,
Albania,ALB,2021-08-27,28.28,
Albania,ALB,2021-08-29,28.51,
Albania,ALB,2021-08-30,28.69,
Albania,ALB,2021-08-31,28.9,
Albania,ALB,2021-09-01,29.12,
Albania,ALB,2021-09-02,29.39,
Albania,ALB,2021-09-06,30.12,
Albania,ALB,2021-09-07,30.36,
Albania,ALB,2021-09-08,30.61,
Albania,ALB,2021-09-09,30.84,
Albania,ALB,2021-09-10,31.01,
Albania,ALB,2021-09-11,31.17,
Albania,ALB,2021-09-12,31.22,
Albania,ALB,2021-09-13,31.36,
Albania,ALB,2021-09-14,31.49,
Albania,ALB,2021-09-15,31.61,
Albania,ALB,2021-09-16,31.72,
Albania,ALB,2021-09-17,31.83,
Albania,ALB,2021-09-19,31.96,
Albania,ALB,2021-09-20,32.06,
Albania,ALB,2021-09-21,32.15,
Albania,ALB,2021-09-22,32.25,
Albania,ALB,2021-09-23,32.36,
Albania,ALB,2021-09-24,32.46,
Albania,ALB,2021-09-27,32.68,
Albania,ALB,2021-09-28,32.77,
Albania,ALB,2021-09-29,32.86,
Albania,ALB,2021-09-30,32.95,
Albania,ALB,2021-10-01,33.02,
Albania,ALB,2021-10-02,33.09,
Albania,ALB,2021-10-04,33.17,
Albania,ALB,2021-10-05,33.24,
Albania,ALB,2021-10-06,33.32,
Albania,ALB,2021-10-07,33.38,
Albania,ALB,2021-10-08,33.44,
Albania,ALB,2021-10-09,33.49,
Albania,ALB,2021-10-12,33.7,
Albania,ALB,2021-10-13,33.79,
Albania,ALB,2021-10-17,34.1,
Albania,ALB,2021-10-18,34.2,
Albania,ALB,2021-10-19,34.3,
Albania,ALB,2021-10-20,34.4,
Albania,ALB,2021-10-21,34.51,
Albania,ALB,2021-10-22,34.61,
Albania,ALB,2021-10-24,34.74,
Albania,ALB,2021-10-25,34.84,
Albania,ALB,2021-10-27,35.08,
Albania,ALB,2021-10-28,35.19,
Albania,ALB,2021-10-29,35.29,
Albania,ALB,2021-11-01,35.44,
Albania,ALB,2021-11-03,35.68,
Albania,ALB,2021-11-06,35.91,
Albania,ALB,2021-11-07,35.94,
Albania,ALB,2021-11-09,36.11,
Albania,ALB,2021-11-10,36.2,
Albania,ALB,2021-11-11,36.28,
Albania,ALB,2021-11-14,36.47,
Albania,ALB,2021-11-16,36.6,
Albania,ALB,2021-11-17,36.67,
Albania,ALB,2021-11-18,36.75,
Albania,ALB,2021-11-21,36.89,
Albania,ALB,2021-11-24,37.1,
Albania,ALB,2021-11-25,37.17,
Albania,ALB,2021-11-28,37.31,
Albania,ALB,2021-11-30,37.34,
Albania,ALB,2021-12-01,37.43,
Albania,ALB,2021-12-03,37.61,
Albania,ALB,2021-12-05,37.73,
Albania,ALB,2021-12-06,37.84,
Albania,ALB,2021-12-07,37.96,
Albania,ALB,2021-12-08,38.02,
Albania,ALB,2021-12-12,38.38,
Albania,ALB,2021-12-13,38.48,
Albania,ALB,2021-12-14,38.59,
Albania,ALB,2021-12-15,38.69,
Albania,ALB,2021-12-18,38.96,
Albania,ALB,2021-12-21,39.2,
Albania,ALB,2021-12-23,39.39,
